Serial;Modelo;id_marca;id_tipo
USAGTKA23091393;SPP-R310;1;2
USAGTKA23091394;SPP-R310;1;2
USAGTKA23091395;SPP-R310;1;2
USAGTKA23091396;SPP-R310;1;2
USAGTKA23091397;SPP-R310;1;2
USAGTKA23091398;SPP-R310;1;2
USAGTKA23091410;SPP-R310;1;2
USAGTKA23091415;SPP-R310;1;2
USAGTKA23091416;SPP-R310;1;2
USAGTKA23091399;SPP-R310;1;2
USAGTKA23091400;SPP-R310;1;2
USAGTKA23091409;SPP-R310;1;2
USAGTKA23091411;SPP-R310;1;2
USAGTKA23091412;SPP-R310;1;2
USAGTKA23091413;SPP-R310;1;2
USAGTKA23091414;SPP-R310;1;2
USAGTKA23091402;SPP-R310;1;2
USAGTKA23091403;SPP-R310;1;2
USAGTKA23091404;SPP-R310;1;2
USAGTKA23091401;SPP-R310;1;2
