PDV;Descripcion;nombre_planta
VNTP017;TDA.SANTA CRUZ (2);VILLANUEVA
VNTP018;TDA.PEÑA BLANCA #1;VILLANUEVA
VNTP019;TDA.PEÑA BLANCA #2;VILLANUEVA
VNTP020;TDA.RIO LINDO #1;VILLANUEVA
VNTP021;TDA.DOS CAMINOS #2;VILLANUEVA
VNTP022;TDA. VILLANUEVA #4;VILLANUEVA
VNTP023;TDA.CALAN;VILLANUEVA
VNTP024;TDA.DOS CAMINOS #1;VILLANUEVA
VNTP025;TDA.DOS CAMINOS 1 (#3);VILLANUEVA
VNTP026;TDA.VILLANUEVA #1;VILLANUEVA
VNTP028;TDA.VILLANUEVA #2;VILLANUEVA
VNTP029;TDA.VILLANUEVA #2 (REGALO DE DIOS);VILLANUEVA
VNTP031;TDA.SIGUATEPEQUE #1;VILLANUEVA
VNVIP034;TDA.SIGUATEPEQUE #1 (VIP 19);VILLANUEVA
VNTP032;TDA.AZACUALPA;VILLANUEVA
VNTP033;TDA.EL NEGRITO;VILLANUEVA
VNTP034;TDA.LA FLECHA;VILLANUEVA
VNTP035;TDA.LA FLECHA (QUIMISTAN);VILLANUEVA
VNTP036;TDA.SULA;VILLANUEVA
VNTP037;TDA.POTRERILLOS;VILLANUEVA
VNTP116;TDA.ESPERANZA # 6;VILLANUEVA
VNGRN004;VILLANUEVA GRANEL 4;VILLANUEVA
VNGRN005;VILLANUEVA GRANEL 5;VILLANUEVA
VNTP127;TDA.STA. BARBARA(#5);VILLANUEVA
VNCI001;VILLANUEVA AUTOCONSUMO;VILLANUEVA
VNTP130;TDA.REAL DEL PUENTE (VILLAS DEL RIO#3);VILLANUEVA
VNTP117;TDA. RIO LINDO # 4;VILLANUEVA
VNTP122;TDA.EL PLAN 3;VILLANUEVA
VNTP126;TDA.VILLA REAL (PUEBLO NUEVO);VILLANUEVA
VNTP128;TDA.SANTA CRUZ (3);VILLANUEVA
VNTP115;TDA.ESPERANZA # 5;VILLANUEVA
VNTP118;TDA. BOGRAN # 3;VILLANUEVA
VNGRNDEMO001;DEMO APP (PRUEBAS IT);VILLANUEVA
VNTP120;TDA.TAULABE 2;VILLANUEVA
VNTP121;TDA.EL PLAN 2;VILLANUEVA
VNGRN002;VILLANUEVA GRANEL 2;VILLANUEVA
VNGRN002;VILLANUEVA GRANEL 2;VILLANUEVA
VNTP125;TDA.DOS CAMINOS #2 (5);VILLANUEVA
VNTP129;TDA.REAL DEL PUENTE (VILLAS DEL RIO#2);VILLANUEVA
