Serial;Modelo;id_marca;id_tipo
USA3YKA22102338;Bixolom SPP-210;1;1
USA3YKA22102467;Bixolom SPP-210;1;1
USA3YKA22100333;Bixolom SPP-210;1;1
USA3YKA22102405;Bixolom SPP-210;1;1
USA3YKA22102331;Bixolom SPP-210;1;1
USA3YKA22102332;Bixolom SPP-210;1;1
USA3YKA22100323;Bixolom SPP-210;1;1
USA3YKA22101084;Bixolom SPP-210;1;1
USA3YKA22102440;Bixolom SPP-210;1;1
USA3YKA22102407;Bixolom SPP-210;1;1
USA3YKA22102403;Bixolom SPP-210;1;1
USA3YKA22101332;Bixolom SPP-210;1;1
USA3YKA22100336;Bixolom SPP-210;1;1
USA3YKA22102335;Bixolom SPP-210;1;1
USA3YKA22100335;Bixolom SPP-210;1;1
USA3YKA22100334;Bixolom SPP-210;1;1
USA3YKA22100325;Bixolom SPP-210;1;1
USA3YKA22101083;Bixolom SPP-210;1;1
USA3YKA22101086;Bixolom SPP-210;1;1
USA3YKA22100328;Bixolom SPP-210;1;1
USA3YKA22100330;Bixolom SPP-210;1;1
USA3YKA22100313;Bixolom SPP-210;1;1
USA3YKA22102339;Bixolom SPP-210;1;1
USA3YKA22102438;Bixolom SPP-210;1;1
USA3YKA22021083;Bixolom SPP-210;1;1
USA3YKA22100318;Bixolom SPP-210;1;1
USA3YKA22102455;Bixolom SPP-210;1;1
USA3YKA22102337;Bixolom SPP-210;1;1
USA3YKA22102340;Bixolom SPP-210;1;1
USA3YKA22100319;Bixolom SPP-210;1;1
USA3YKA22100332;Bixolom SPP-210;1;1
USA3YKA22102449;Bixolom SPP-210;1;1
USA3YKA22102329;Bixolom SPP-210;1;1
USA3YKA22102336;Bixolom SPP-210;1;1
USA3YKA22102333;Bixolom SPP-210;1;1
USA3YKA22102401;Bixolom SPP-210;1;1
USA3YKA22100329;Bixolom SPP-210;1;1
USA3YKA22102410;Bixolom SPP-210;1;1
USA3YKA19082551;Bixolom SPP-210;1;1
USA3YKA22100331;Bixolom SPP-210;1;1
USA3YKA22101054;Bixolom SPP-210;1;1
USA3YKA22102433;Bixolom SPP-210;1;1
USA3YKA22102490;Bixolom SPP-210;1;1
USA3YKA22102428;Bixolom SPP-210;1;1
USA3YKA22102435;Bixolom SPP-210;1;1
USA3YKA22102402;Bixolom SPP-210;1;1
USA3YKA22102330;Bixolom SPP-210;1;1
USA3YKA22102492;Bixolom SPP-210;1;1
USA3YKA22100327;Bixolom SPP-210;1;1
USA3YKA22102465;Bixolom SPP-210;1;1
USA3YKA22102470;Bixolom SPP-210;1;1
USA3YKA22100326;Bixolom SPP-210;1;1
USA3YKA22102513;Bixolom SPP-210;1;1
USA3YKA22102517;Bixolom SPP-210;1;1
USA3YKA22102437;Bixolom SPP-210;1;1
USA3YKA22102487;Bixolom SPP-210;1;1
USA3YKA22102454;Bixolom SPP-210;1;1
USA3YKA22102436;Bixolom SPP-210;1;1
USA3YKA22102406;Bixolom SPP-210;1;1
USA3YKA22102495;Bixolom SPP-210;1;1
USA3YKA22100324;Bixolom SPP-210;1;1
USA3YKA22102485;Bixolom SPP-210;1;1
USA3YKA22102450;Bixolom SPP-210;1;1
USA3YKA22102404;Bixolom SPP-210;1;1
USA3YKA22100315;Bixolom SPP-210;1;1
USA3YKA22102439;Bixolom SPP-210;1;1
USA3YKA22102489;Bixolom SPP-210;1;1
USA3YKA22101066;Bixolom SPP-210;1;1
USA3YKA22102444;Bixolom SPP-210;1;1
USA3YKA22101088;Bixolom SPP-210;1;1
USA3YKA22101073;Bixolom SPP-210;1;1
USA3YKA22101319;Bixolom SPP-210;1;1
USA3YKA22101068;Bixolom SPP-210;1;1
USA3YKA22102367;Bixolom SPP-210;1;1
USA3YKA22102459;Bixolom SPP-210;1;1
USA3YKA22102334;Bixolom SPP-210;1;1
USA3YKA22102496;Bixolom SPP-210;1;1
USA3YKA22102488;Bixolom SPP-210;1;1
USA3YKA22102430;Bixolom SPP-210;1;1
USA3YKA22102426;Bixolom SPP-210;1;1
USA3YKA22102460;Bixolom SPP-210;1;1
USA3YKA22102486;Bixolom SPP-210;1;1
USA3YKA22102458;Bixolom SPP-210;1;1
USA3YKA22102456;Bixolom SPP-210;1;1
USA3YKA22102457;Bixolom SPP-210;1;1
USA3YKA22102431;Bixolom SPP-210;1;1
USA3YKA22102443;Bixolom SPP-210;1;1
USA3YKA22102484;Bixolom SPP-210;1;1
USA3YKA22102478;Bixolom SPP-210;1;1
USA3YKA22102477;Bixolom SPP-210;1;1
USA3YKA22102429;Bixolom SPP-210;1;1
USA3YKA22102427;Bixolom SPP-210;1;1
USA3YKA22102425;Bixolom SPP-210;1;1
USA3YKA22102432;Bixolom SPP-210;1;1
USA3YKA22102434;Bixolom SPP-210;1;1
USA3YKA22102483;Bixolom SPP-210;1;1
USA3YKA22102482;Bixolom SPP-210;1;1
USA3YKA22102481;Bixolom SPP-210;1;1
USA3YKA22102476;Bixolom SPP-210;1;1
USA3YKA22102475;Bixolom SPP-210;1;1
USA3YKA22102474;Bixolom SPP-210;1;1
USA3YKA22102473;Bixolom SPP-210;1;1
USA3YKA22102479;Bixolom SPP-210;1;1
USA3YKA22102480;Bixolom SPP-210;1;1
USA3YKA19082546;Bixolom SPP-210;1;1
USA3YKA19082544;Bixolom SPP-210;1;1
USA3YKA19082545;Bixolom SPP-210;1;1
USA3YKA19082543;Bixolom SPP-210;1;1
USA3YKA22102547;Bixolom SPP-210;1;1
USA3YKA22102548;Bixolom SPP-210;1;1
USA3YKA19082549;Bixolom SPP-210;1;1
USA3YKA19082542;Bixolom SPP-210;1;1
USA3YKA19082541;Bixolom SPP-210;1;1
USA3YKA19082552;Bixolom SPP-210;1;1
USA3YKA22102409;Bixolom SPP-210;1;1
USA3YKA22102494;Bixolom SPP-210;1;1
USA3YKA22102442;Bixolom SPP-210;1;1
USA3YKA22102493;Bixolom SPP-210;1;1
USA3YKA22021081;Bixolom SPP-210;1;1
USA3YKA22100317;Bixolom SPP-210;1;1
USA3YKA22102469;Bixolom SPP-210;1;1
USA3YKA22102472;Bixolom SPP-210;1;1
USA3YKA22102462;Bixolom SPP-210;1;1
USA3YKA22102461;Bixolom SPP-210;1;1
USA3YKA22100320;Bixolom SPP-210;1;1
USA3YKA22102466;Bixolom SPP-210;1;1
USA3YKA22102468;Bixolom SPP-210;1;1
USA3YKA22102463;Bixolom SPP-210;1;1
USA3YKA22102452;Bixolom SPP-210;1;1
USA3YKA22102491;Bixolom SPP-210;1;1
USA3YKA22102451;Bixolom SPP-210;1;1
USA3YKA22101081;Bixolom SPP-210;1;1
USA3YKA22021075;Bixolom SPP-210;1;1
USA3YKA22102471;Bixolom SPP-210;1;1
USA3YKA22102453;Bixolom SPP-210;1;1
USA3YKA22100879;Bixolom SPP-210;1;1
USA3YKA22100873;Bixolom SPP-210;1;1
USA3YKA22100866;Bixolom SPP-210;1;1
USA3YKA22101026;Bixolom SPP-210;1;1
USA3YKA19082550;Bixolom SPP-210;1;1
USA3YKA22100877;Bixolom SPP-210;1;1
USA3YKA22100884;Bixolom SPP-210;1;1
USA3YKA22100883;Bixolom SPP-210;1;1
USA3YKA22101112;Bixolom SPP-210;1;1
USA3YKA22101141;Bixolom SPP-210;1;1
USA3YKA22101156;Bixolom SPP-210;1;1
USA3YKA22100867;Bixolom SPP-210;1;1
USA3YKA22100868;Bixolom SPP-210;1;1
USA3YKA22100821;Bixolom SPP-210;1;1
USA3YKA22100822;Bixolom SPP-210;1;1
USA3YKA22032606;Bixolom SPP-210;1;1
USA3YKA22032605;Bixolom SPP-210;1;1
USA3YKA22101261;Bixolom SPP-210;1;1
USA3YKA22101262;Bixolom SPP-210;1;1
USA3YKA22101263;Bixolom SPP-210;1;1
USA3YKA22101265;Bixolom SPP-210;1;1
USA3YKA22101266;Bixolom SPP-210;1;1
USA3YKA22101267;Bixolom SPP-210;1;1
USA3YKA22101268;Bixolom SPP-210;1;1
USA3YKA22101269;Bixolom SPP-210;1;1
USA3YKA22101270;Bixolom SPP-210;1;1
USA3YKA22101271;Bixolom SPP-210;1;1
USA3YKA22101272;Bixolom SPP-210;1;1
USA3YKA22101201;Bixolom SPP-210;1;1
USA3YKA22101202;Bixolom SPP-210;1;1
USA3YKA22101203;Bixolom SPP-210;1;1
USA3YKA22101205;Bixolom SPP-210;1;1
USA3YKA22101206;Bixolom SPP-210;1;1
USA3YKA22101207;Bixolom SPP-210;1;1
USA3YKA22101208;Bixolom SPP-210;1;1
USA3YKA22101209;Bixolom SPP-210;1;1
USA3YKA22101210;Bixolom SPP-210;1;1
USA3YKA22101211;Bixolom SPP-210;1;1
USA3YKA22101204;Bixolom SPP-210;1;1
USA3YKA22100961;Bixolom SPP-210;1;1
USA3YKA22102052;Bixolom SPP-210;1;1
USA3YKA22100962;Bixolom SPP-210;1;1
USA3YKA22100963;Bixolom SPP-210;1;1
USA3YKA22101250;Bixolom SPP-210;1;1
USA3YKA22100964;Bixolom SPP-210;1;1
USA3YKA22100965;Bixolom SPP-210;1;1
USA3YKA22100966;Bixolom SPP-210;1;1
USA3YKA22100967;Bixolom SPP-210;1;1
USA3YKA22100968;Bixolom SPP-210;1;1
USA3YKA22100969;Bixolom SPP-210;1;1
USA3YKA22100970;Bixolom SPP-210;1;1
USA3YKA22100971;Bixolom SPP-210;1;1
USA3YKA22100972;Bixolom SPP-210;1;1
USA3YKA22101153;Bixolom SPP-210;1;1
USA3YKA22101154;Bixolom SPP-210;1;1
USA3YKA22101155;Bixolom SPP-210;1;1
USA3YKA22101156;Bixolom SPP-210;1;1
USA3YKA22101157;Bixolom SPP-210;1;1
USA3YKA22101158;Bixolom SPP-210;1;1
USA3YKA22101159;Bixolom SPP-210;1;1
USA3YKA22101160;Bixolom SPP-210;1;1
USA3YKA22101161;Bixolom SPP-210;1;1
USA3YKA22101162;Bixolom SPP-210;1;1
USA3YKA22101163;Bixolom SPP-210;1;1
USA3YKA22101249;Bixolom SPP-210;1;1
USA3YKA22101076;Bixolom SPP-210;1;1
USA3YKA22101251;Bixolom SPP-210;1;1
USA3YKA22101252;Bixolom SPP-210;1;1
USA3YKA22101253;Bixolom SPP-210;1;1
USA3YKA22101254;Bixolom SPP-210;1;1
USA3YKA22101255;Bixolom SPP-210;1;1
USA3YKA22101256;Bixolom SPP-210;1;1
USA3YKA22101257;Bixolom SPP-210;1;1
USA3YKA22101258;Bixolom SPP-210;1;1
USA3YKA22101259;Bixolom SPP-210;1;1
USA3YKA22101260;Bixolom SPP-210;1;1
USA3YKA22102041;Bixolom SPP-210;1;1
USA3YKA22102042;Bixolom SPP-210;1;1
USA3YKA22102043;Bixolom SPP-210;1;1
USA3YKA22102044;Bixolom SPP-210;1;1
USA3YKA22102045;Bixolom SPP-210;1;1
USA3YKA22102046;Bixolom SPP-210;1;1
USA3YKA22102047;Bixolom SPP-210;1;1
USA3YKA22102048;Bixolom SPP-210;1;1
USA3YKA22102049;Bixolom SPP-210;1;1
USA3YKA22102050;Bixolom SPP-210;1;1
USA3YKA22102051;Bixolom SPP-210;1;1
USA3YKA22101264;Bixolom SPP-210;1;1
USA3YKA22101164;Bixolom SPP-210;1;1
USA3YKA22101212;Bixolom SPP-210;1;1
USA3YKA22101075;Bixolom SPP-210;1;1
USA3YKA22101301;Bixolom SPP-210;1;1
USA3YKA22101067;Bixolom SPP-210;1;1
USA3YKA22101008;Bixolom SPP-210;1;1
